1415,75 ELDERT STREET                         ,Brooklyn,NY,11207
1416,64 KOSCIUSZKO STREET                     ,Brooklyn,NY,11205
1417,937 BAY RIDGE AVENUE                     ,Brooklyn,NY,11219
1418,1257 74TH STREET                         ,Brooklyn,NY,11228
1419,2516 AVENUE W                            ,Brooklyn,NY,11229
1420,226 HIGHLAWN AVENUE                      ,Brooklyn,NY,11223
1421,740 PROSPECT PLACE                       ,Brooklyn,NY,11216
1422,233 WOODBINE STREET                      ,Brooklyn,NY,11221
1423,1422 EAST 29 STREET                      ,Brooklyn,NY,11210
1424,1176 EAST 32ND   STREET                  ,Brooklyn,NY,11210
1425,7323 AVENUE V                            ,Brooklyn,NY,11234
1426,357 ADELPHI STREET                       ,Brooklyn,NY,11238
1427,4596 BEDFORD AVENUE                      ,Brooklyn,NY,11235
1428,2014 WEST 7TH   STREET                   ,Brooklyn,NY,11223
1429,1527 WEST 3RD   STREET                   ,Brooklyn,NY,11204
1430,2224 AVENUE R                            ,Brooklyn,NY,11229
1431,50 EXETER STREET                         ,Brooklyn,NY,11235
1432,4271 BEDFORD AVENUE                      ,Brooklyn,NY,11229
1433,2520 AVENUE X                            ,Brooklyn,NY,11235
1434,2055 WEST 5TH   STREET                   ,Brooklyn,NY,11223
1435,1250 BAY RIDGE PARKWAY                   ,Brooklyn,NY,11228
1436,753 MONROE STREET                        ,Brooklyn,NY,11221
1437,6821 MADELINE COURT                      ,Brooklyn,NY,11220
1438,1967 61ST STREET                         ,Brooklyn,NY,11204
