ID,ADDRESS,CITY,STATE,ZIP CODE,LNG,LAT,NEIGHBORHOOD,BUILDING CLASS CATEGORY,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
133,796 BARBEY STREET,Brooklyn,NY,11207,-73.88417,40.662907,EAST NEW YORK,03 THREE FAMILY DWELLINGS,"2,000","1,200",1920,"295,000",2/15/17
134,430 VERMONT STREET,Brooklyn,NY,11207,-73.89314,40.668953,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"1,800","1,134",1992,"295,000",3/31/17
135,2373 EAST 69 STREET,Brooklyn,NY,11234,-73.904,40.614525,BERGEN BEACH,01 ONE FAMILY DWELLINGS,"2,592","2,448",2001,"297,000",1/25/17
136,1353 EAST 96TH STREET,Brooklyn,NY,11236,-73.89692,40.639076,CANARSIE,01 ONE FAMILY DWELLINGS,"3,500",800,1920,"300,000",1/5/17
137,28A CEDAR STREET,Brooklyn,NY,11221,-73.92849,40.696503,BUSHWICK,02 TWO FAMILY DWELLINGS,"1,836","1,440",1920,"300,000",1/11/17
138,34 PLEASANT PL,Brooklyn,NY,11233,-73.90993,40.677048,OCEAN HILL,02 TWO FAMILY DWELLINGS,"1,353","1,428",1901,"300,000",1/19/17
140,592 EAST 38TH STREET,Brooklyn,NY,11203,-73.94078,40.64071,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"4,000","2,944",1925,"300,000",2/3/17
141,916 THOMAS S BOYLAND ST,Brooklyn,NY,11212,-73.91068,40.658005,BROWNSVILLE,03 THREE FAMILY DWELLINGS,"2,000","4,800",2006,"300,000",2/13/17
142,286 10TH STREET,Brooklyn,NY,11215,-73.98968,40.66996,GOWANUS,03 THREE FAMILY DWELLINGS,"1,387","2,295",1901,"300,000",2/21/17
143,1435 BLAKE AVE,Brooklyn,NY,11208,-73.86298,40.6725,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"6,000","1,440",1910,"300,000",3/6/17
144,2364 EAST 1ST STREET,Brooklyn,NY,11223,-73.96946,40.591434,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,"2,000","2,475",1925,"300,000",3/7/17
145,1552 WEST 6TH STREET,Brooklyn,NY,11204,-73.979935,40.60929,GRAVESEND,02 TWO FAMILY DWELLINGS,"2,000","3,100",1960,"300,000",3/13/17
146,3224A EMMONS AVENUE,Brooklyn,NY,11235,-73.93272,40.584145,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,"1,841",720,1925,"300,000",3/21/17
147,1018 CLARKSON AVE,Brooklyn,NY,11212,-73.924164,40.658485,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,"2,350","3,420",1920,"300,000",4/6/17
148,27 GUNTHER PLACE,Brooklyn,NY,11233,-73.91178,40.677216,OCEAN HILL,02 TWO FAMILY DWELLINGS,"1,307","1,472",1901,"300,000",5/2/17
149,119 EAST 45TH STREET,Brooklyn,NY,11203,-73.93599,40.658966,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,"2,000","1,720",1950,"300,000",5/18/17
150,296 GRAFTON ST,Brooklyn,NY,11212,-73.91728,40.660995,BROWNSVILLE,02 TWO FAMILY DWELLINGS,"2,500","2,160",1930,"300,000",5/23/17
151,794 NEW JERSEY AVE,Brooklyn,NY,11207,-73.890625,40.65999,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"1,876","1,444",1920,"304,099",4/7/17
152,2027 STRAUSS STREET,Brooklyn,NY,11212,-73.91522,40.66449,BROWNSVILLE,02 TWO FAMILY DWELLINGS,"2,000","1,560",1930,"304,200",3/28/17
153,245 BERRIMAN STREET,Brooklyn,NY,11208,-73.87946,40.6726,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"2,782","1,132",1990,"305,000",3/3/17
154,4106 CLARENDON ROAD,Brooklyn,NY,11203,-73.938126,40.643898,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,043",909,1940,"307,242",3/2/17
155,938 BUSHWICK AVENUE,Brooklyn,NY,11221,-73.92372,40.692642,BUSHWICK,02 TWO FAMILY DWELLINGS,"1,857","2,400",1901,"307,821",4/27/17
156,1863 72ND STREET,Brooklyn,NY,11204,-73.99297,40.61438,BENSONHURST,01 ONE FAMILY DWELLINGS,"3,100","1,378",1935,"308,202",1/18/17
157,946 E 96TH ST,Brooklyn,NY,11236,-73.9059,40.647114,CANARSIE,02 TWO FAMILY DWELLINGS,"3,153","3,031",1970,"308,750",5/10/17
158,940 EAST 58TH STREET,Brooklyn,NY,11234,-73.92055,40.632015,FLATLANDS,01 ONE FAMILY DWELLINGS,"2,000",616,1925,"309,000",3/30/17
159,448 SAPPHIRE STREET,Brooklyn,NY,11208,-73.85664,40.66783,EAST NEW YORK,03 THREE FAMILY DWELLINGS,"2,000","2,961",2004,"310,000",3/31/17
160,230 EAST 43RD STREET,Brooklyn,NY,11203,-73.93703,40.650227,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,000","1,378",1925,"310,000",4/10/17
161,25 PRESTON COURT,Brooklyn,NY,11234,-73.92569,40.637596,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"3,333","1,190",1925,"312,000",3/28/17
162,648 EAST 93RD STREET,Brooklyn,NY,11236,-73.915054,40.65177,CANARSIE,02 TWO FAMILY DWELLINGS,"2,000","2,280",1955,"313,500",4/26/17
